"table","long_name","units","comment","questions_and_notes","output_variable_name","standard_name","unconfirmed_or_proposed_standard_name","unformatted_units","cell_methods","valid_min","valid_max","mean_absolute_min","mean_absolute_max","positive","type","CMOR_dimensions","CMOR_variable_name","realm","frequency","cell_measures","flag_values","flag_meanings"
"3hr","Surface Downwelling Clear-Sky Longwave Radiation","W m-2","This is a 3-hour mean flux.",,"rldscs","surface_downwelling_longwave_flux_in_air_assuming_clear_sky",,"W m-2","time: mean",,,,,"down","real","longitude latitude time","rldscs","atmos",,"area: areacella",,
"3hr","Surface Downwelling Clear-Sky Shortwave Radiation","W m-2","This is a 3-hour mean flux.",,"rsdscs","surface_downwelling_shortwave_flux_in_air_assuming_clear_sky",,"W m-2","time: mean",,,,,"down","real","longitude latitude time","rsdscs","atmos",,"area: areacella",,
"3hr","Surface Upwelling Clear-Sky Shortwave Radiation","W m-2","This is a 3-hour mean flux.",,"rsuscs","surface_upwelling_shortwave_flux_in_air_assuming_clear_sky",,"W m-2","time: mean",,,,,"up","real","longitude latitude time","rsuscs","atmos",,"area: areacella",,
"3hr","Surface Air Pressure","Pa","sampled synoptically to diagnose atmospheric tides, this is better than mean sea level pressure.",,"ps","surface_air_pressure",,"Pa","time: point",,,,,,"real","longitude latitude time1","ps","atmos",,"area: areacella",,
"3hr","Total Cloud Fraction","%","for the whole atmospheric column, as seen from the surface or the top of the atmosphere. Include both large-scale and convective cloud.  This is a 3-hour mean.",,"clt","cloud_area_fraction",,"%","time: mean",,,,,,"real","longitude latitude time","clt","atmos",,"area: areacella",,
"3hr","Surface Diffuse Downwelling Shortwave Radiation","W m-2","This is a 3-hour mean flux.",,"rsdsdiff","surface_diffuse_downwelling_shortwave_flux_in_air",,"W m-2","time: mean",,,,,,"real","longitude latitude time","rsdsdiff","atmos",,"area: areacella",,
"cfMon","Upwelling Longwave Radiation","W m-2","Includes also the fluxes at the surface and TOA.",,"rlu","upwelling_longwave_flux_in_air",,"W m-2","time: mean",,,,,"up","real","longitude latitude alevhalf time","rlu","atmos",,"area: areacella",,
"cfMon","Upwelling Shortwave Radiation","W m-2","Includes also the fluxes at the surface and TOA.",,"rsu","upwelling_shortwave_flux_in_air",,"W m-2","time: mean",,,,,"up","real","longitude latitude alevhalf time","rsu","atmos",,"area: areacella",,
"cfMon","Downwelling Longwave Radiation","W m-2","Includes also the fluxes at the surface and TOA.",,"rld","downwelling_longwave_flux_in_air",,"W m-2","time: mean",,,,,"down","real","longitude latitude alevhalf time","rld","atmos",,"area: areacella",,
"cfMon","Downwelling Shortwave Radiation","W m-2","Includes also the fluxes at the surface and TOA.",,"rsd","downwelling_shortwave_flux_in_air",,"W m-2","time: mean",,,,,"down","real","longitude latitude alevhalf time","rsd","atmos",,"area: areacella",,
"cfMon","Upwelling Clear-Sky Longwave Radiation","W m-2","Includes also the fluxes at the surface and TOA.",,"rlucs","upwelling_longwave_flux_in_air_assuming_clear_sky",,"W m-2","time: mean",,,,,"up","real","longitude latitude alevhalf time","rlucs","atmos",,"area: areacella",,
"cfMon","Upwelling Clear-Sky Shortwave Radiation","W m-2","Includes also the fluxes at the surface and TOA.",,"rsucs","upwelling_shortwave_flux_in_air_assuming_clear_sky",,"W m-2","time: mean",,,,,"up","real","longitude latitude alevhalf time","rsucs","atmos",,"area: areacella",,
"cfMon","Downwelling Clear-Sky Longwave Radiation","W m-2","Includes also the fluxes at the surface and TOA.",,"rldcs","downwelling_longwave_flux_in_air_assuming_clear_sky",,"W m-2","time: mean",,,,,"down","real","longitude latitude alevhalf time","rldcs","atmos",,"area: areacella",,
"cfMon","Downwelling Clear-Sky Shortwave Radiation","W m-2","Includes also the fluxes at the surface and TOA.",,"rsdcs","downwelling_shortwave_flux_in_air_assuming_clear_sky",,"W m-2","time: mean",,,,,"down","real","longitude latitude alevhalf time","rsdcs","atmos",,"area: areacella",,
"cfMon","Air Temperature","K",,,"ta","air_temperature",,"K","time: mean",,,,,,"real","longitude latitude alevel time","ta","atmos",,"area: areacella",,
"cfMon","Tendency of Air Temperature","K s-1",,,"tnt","tendency_of_air_temperature",,"K s-1","time: mean",,,,,,"real","longitude latitude alevel time","tnt","atmos",,"area: areacella",,
"cfMon","Tendency of Air Temperature due to Advection","K s-1",,,"tnta","tendency_of_air_temperature_due_to_advection",,"K s-1","time: mean",,,,,,"real","longitude latitude alevel time","tnta","atmos",,"area: areacella",,
"cfMon","Tendency of Air Temperature due to Diabatic Processes","K s-1",,,"tntmp","tendency_of_air_temperature_due_to_model_physics",,"K s-1","time: mean",,,,,,"real","longitude latitude alevel time","tntmp","atmos",,"area: areacella",,
"cfMon","Tendency of Air Temperature Due to Stratiform Cloud and Precipitation and Boundary Layer Mixing","K s-1",,,"tntscpbl","tendency_of_air_temperature_due_to_stratiform_cloud_and_precipitation_and_boundary_layer_mixing",,"K s-1","time: mean",,,,,,"real","longitude latitude alevel time","tntscpbl","atmos",,"area: areacella",,
"cfMon","Tendency of Air Temperature due to Radiative Heating","K s-1",,,"tntr","tendency_of_air_temperature_due_to_radiative_heating",,"K s-1","time: mean",,,,,,"real","longitude latitude alevel time","tntr","atmos",,"area: areacella",,
"cfMon","Tendency of Air Temperature due to Moist Convection","K s-1",,,"tntc","tendency_of_air_temperature_due_to_convection",,"K s-1","time: mean",,,,,,"real","longitude latitude alevel time","tntc","atmos",,"area: areacella",,
"cfMon","Relative Humidity","%",,,"hur","relative_humidity",,"%","time: mean",,,,,,"real","longitude latitude alevel time","hur","atmos",,"area: areacella",,
"cfMon","Specific Humidity",1,,,"hus","specific_humidity",,1,"time: mean",,,,,,"real","longitude latitude alevel time","hus","atmos",,"area: areacella",,
"cfMon","Tendency of Specific Humidity","s-1",,,"tnhus","tendency_of_specific_humidity",,"s-1","time: mean",,,,,,"real","longitude latitude alevel time","tnhus","atmos",,"area: areacella",,
"cfMon","Tendency of Specific Humidity due to Advection","s-1",,,"tnhusa","tendency_of_specific_humidity_due_to_advection",,"s-1","time: mean",,,,,,"real","longitude latitude alevel time","tnhusa","atmos",,"area: areacella",,
"cfMon","Tendency of Specific Humidity due to Convection","s-1",,,"tnhusc","tendency_of_specific_humidity_due_to_convection",,"s-1","time: mean",,,,,,"real","longitude latitude alevel time","tnhusc","atmos",,"area: areacella",,
"cfMon","Tendency of Specific Humidity due to Diffusion","s-1",,,"tnhusd","tendency_of_specific_humidity_due_to_diffusion",,"s-1","time: mean",,,,,,"real","longitude latitude alevel time","tnhusd","atmos",,"area: areacella",,
"cfMon","Tendency of Specific Humidity due to Stratiform Cloud Condensation and Evaporation","s-1",,,"tnhusscpbl","tendency_of_specific_humidity_due_to_stratiform_cloud_and_precipitation_and_boundary_layer_mixing",,"s-1","time: mean",,,,,,"real","longitude latitude alevel time","tnhusscpbl","atmos",,"area: areacella",,
"cfMon","Tendency of Specific Humidity due to Model Physics","s-1","This includes sources and sinks from parametrized physics (e.g. convection, stratiform condensation/evaporation, etc.) and excludes sources and sinks from resolved dynamics and diffusion.",,"tnhusmp","tendency_of_specific_humidity_due_to_model_physics",,"s-1","time: mean",,,,,,"real","longitude latitude alevel time","tnhusmp","atmos",,"area: areacella",,
"cfMon","Eddy Viscosity Coefficients for Momentum","m2 s-1",,,"eviscu","atmosphere_momentum_diffusivity",,"m2 s-1","time: mean",,,,,,"real","longitude latitude alevel time","eviscu","atmos",,"area: areacella",,
"cfMon","Eddy Diffusivity Coefficients for Temperature","m2 s-1",,,"evisct","atmosphere_heat_diffusivity",,"m2 s-1","time: mean",,,,,,"real","longitude latitude alevel time","evisct","atmos",,"area: areacella",,
"cfMon","Convective Cloud Area Fraction","%",,,"clc","convective_cloud_area_fraction_in_atmosphere_layer",,"%","time: mean",,,,,,"real","longitude latitude alevel time","clc","atmos",,"area: areacella",,
"cfMon","Mass Fraction of Convective Cloud Liquid Water",1,"Calculated as the mass of convective cloud liquid water in the grid cell divided by the mass of air (including the water in all phases) in the grid cell.  This includes precipitating hydrometeors ONLY if the precipitating hydrometeors affect the calculation of radiative transfer in model.",," clwc","mass_fraction_of_convective_cloud_liquid_water_in_air",,1,"time: mean",,,,,,"real","longitude latitude alevel time"," clwc","atmos",,"area: areacella",,
"cfMon","Mass Fraction of Convective Cloud Ice",1,"Calculated as the mass of convective cloud ice  in the grid cell divided by the mass of air (including the water in all phases) in the grid cell.  This includes precipitating hydrometeors ONLY if the precipitating hydrometeors affect the calculation of radiative transfer in model.",,"clic","mass_fraction_of_convective_cloud_ice_in_air",,1,"time: mean",,,,,,"real","longitude latitude alevel time","clic","atmos",,"area: areacella",,
"cfMon","Stratiform Cloud Area Fraction","%",,,"cls","stratiform_cloud_area_fraction_in_atmosphere_layer",,"%","time: mean",,,,,,"real","longitude latitude alevel time","cls","atmos",,"area: areacella",,
"cfMon","Mass Fraction of Stratiform Cloud Liquid Water",1,"Calculated as the mass of stratiform cloud liquid water in the grid cell divided by the mass of air (including the water in all phases) in the grid cell.  This includes precipitating hydrometeors ONLY if the precipitating hydrometeors affect the calculation of radiative transfer in model.",,"clws","mass_fraction_of_stratiform_cloud_liquid_water_in_air",,1,"time: mean",,,,,,"real","longitude latitude alevel time","clws","atmos",,"area: areacella",,
"cfMon","Mass Fraction of Stratiform Cloud Ice",1,"Calculated as the mass of stratiform cloud ice  in the grid cell divided by the mass of air (including the water in all phases) in the grid cell.  This includes precipitating hydrometeors ONLY if the precipitating hydrometeors affect the calculation of radiative transfer in model.",,"clis","mass_fraction_of_stratiform_cloud_ice_in_air",,1,"time: mean",,,,,,"real","longitude latitude alevel time","clis","atmos",,"area: areacella",,
"cfMon","Updraft Convective Mass Flux","kg m-2 s-1","Calculated as the convective mass flux divided by the area of the whole grid cell (not just the area of the cloud).","Report on model half-levels (i.e., model layer bounds and not standard pressures).","mcu","atmosphere_updraft_convective_mass_flux",,"kg m-2 s-1","time: mean",,,,,"up","real","longitude latitude alevhalf time","mcu","atmos",,"area: areacella",,
"cfMon","Downdraft Convective Mass Flux","kg m-2 s-1","Calculated as the convective mass flux divided by the area of the whole grid cell (not just the area of the cloud).","Report on model half-levels (i.e., model layer bounds and not standard pressures).","mcd","atmosphere_downdraft_convective_mass_flux",,"kg m-2 s-1","time: mean",,,,,"down","real","longitude latitude alevhalf time","mcd","atmos",,"area: areacella",,
"cfMon","Shallow Convective Mass Flux","kg m-2 s-1","The net mass flux represents the difference between the updraft and downdraft components.  For models with a distinct shallow convection scheme, this is calculated as convective mass flux divided by the area of the whole grid cell (not just the area of the cloud).","Report on model half-levels (i.e., model layer bounds and not standard pressures).","smc","atmosphere_net_upward_shallow_convective_mass_flux",,"kg m-2 s-1","time: mean",,,,,"up","real","longitude latitude alevhalf time","smc","atmos",,"area: areacella",,
"cfMon","Deep Convective Mass Flux","kg m-2 s-1","The net mass flux  represents the difference between the updraft and downdraft components.   This is calculated as the convective mass flux divided by the area of the whole grid cell (not just the area of the cloud).","Report on model half-levels (i.e., model layer bounds and not standard pressures).","dmc","atmosphere_net_upward_deep_convective_mass_flux",,"kg m-2 s-1","time: mean",,,,,"up","real","longitude latitude alevhalf time","dmc","atmos",,"area: areacella",,
"cfMon","Tendency of Mass Fraction of Stratiform Cloud Liquid Water In Air","s-1",,,"tnsclw","tendency_of_mass_fraction_of_stratiform_cloud_liquid_water_in_air",,"s-1","time: mean",,,,,,"real","longitude latitude alevel time","tnsclw","atmos",,"area: areacella",,
"cfMon","Tendency of Mass Fraction of Stratiform Cloud Liquid Water In Air Due To Cloud Microphysics","s-1",,,"tnsclwcm","tendency_of_mass_fraction_of_stratiform_cloud_liquid_water_in_air_due_to_cloud_microphysics",,"s-1","time: mean",,,,,,"real","longitude latitude alevel time","tnsclwcm","atmos",,"area: areacella",,
"cfMon","Tendency of Mass Fraction of Stratiform Cloud Liquid Water In Air Due To Boundary Layer Mixing","s-1",,,"tnsclwbl","tendency_of_mass_fraction_of_stratiform_cloud_liquid_water_in_air_due_to_boundary_layer_mixing",,"s-1","time: mean",,,,,,"real","longitude latitude alevel time","tnsclwbl","atmos",,"area: areacella",,
"cfMon","Tendency of Mass Fraction of Stratiform Cloud Liquid Water In Air Due To Bergeron Findeisen Process To Cloud Ice","s-1",,,"tnsclwbfpcli","tendency_of_mass_fraction_of_stratiform_cloud_liquid_water_in_air_due_to_bergeron_findeisen_process_to_cloud_ice",,"s-1","time: mean",,,,,,"real","longitude latitude alevel time","tnsclwbfpcli","atmos",,"area: areacella",,
"cfMon","Tendency of Mass Fraction of Stratiform Cloud Liquid Water due to Condensation and Evaporation","s-1",,,"tnsclwce","tendency_of_mass_fraction_of_stratiform_cloud_liquid_water_in_air_due_to_condensation_and_evaporation",,"s-1","time: mean",,,,,,"real","longitude latitude alevel time","tnsclwce","atmos",,"area: areacella",,
"cfMon","Tendency of Mass Fraction of Stratiform Cloud Liquid Water Due to Convective Detrainment","s-1",,,"tnsclwcd","tendency_of_mass_fraction_of_stratiform_cloud_liquid_water_in_air_due_to_convective_detrainment",,"s-1","time: mean",,,,,,"real","longitude latitude alevel time","tnsclwcd","atmos",,"area: areacella",,
"cfMon","Tendency of Mass Fraction of Stratiform Cloud Liquid Water due to Homogeneous Nucleation","s-1",,,"tnsclwhon","tendency_of_mass_fraction_of_stratiform_cloud_liquid_water_in_air_due_to_homogeneous_nucleation",,"s-1","time: mean",,,,,,"real","longitude latitude alevel time","tnsclwhon","atmos",,"area: areacella",,
"cfMon","Tendency of Mass Fraction of Stratiform Cloud Liquid Water due to Heterogeneous Nucleation","s-1",,,"tnsclwhen","tendency_of_mass_fraction_of_stratiform_cloud_liquid_water_in_air_due_to_heterogeneous_nucleation",,"s-1","time: mean",,,,,,"real","longitude latitude alevel time","tnsclwhen","atmos",,"area: areacella",,
"cfMon","Tendency of Mass Fraction of Stratiform Cloud Liquid Water due to Riming","s-1",,,"tnsclwri","tendency_of_mass_fraction_of_stratiform_cloud_liquid_water_in_air_due_to_riming",,"s-1","time: mean",,,,,,"real","longitude latitude alevel time","tnsclwri","atmos",,"area: areacella",,
"cfMon","Tendency of Mass Fraction of Stratiform Cloud Liquid Water due to Accretion to Rain","s-1",,,"tnsclwar","tendency_of_mass_fraction_of_stratiform_cloud_liquid_water_in_air_due_to_accretion_to_rain",,"s-1","time: mean",,,,,,"real","longitude latitude alevel time","tnsclwar","atmos",,"area: areacella",,
"cfMon","Tendency of Mass Fraction of Stratiform Cloud Liquid Water due to Accretion to Snow","s-1",,,"tnsclwas","tendency_of_mass_fraction_of_stratiform_cloud_liquid_water_in_air_due_to_accretion_to_snow",,"s-1","time: mean",,,,,,"real","longitude latitude alevel time","tnsclwas","atmos",,"area: areacella",,
"cfMon","Tendency of Mass Fraction of Stratiform Cloud Liquid Water due to Melting From Cloud Ice","s-1",,,"tnsclwmi","tendency_of_mass_fraction_of_stratiform_cloud_liquid_water_in_air_due_to_melting_from_cloud_ice",,"s-1","time: mean",,,,,,"real","longitude latitude alevel time","tnsclwmi","atmos",,"area: areacella",,
"cfMon","Tendency of Mass Fraction of Stratiform Cloud Liquid Water due to Autoconversion","s-1",,,"tnsclwac","tendency_of_mass_fraction_of_stratiform_cloud_liquid_water_in_air_due_to_autoconversion",,"s-1","time: mean",,,,,,"real","longitude latitude alevel time","tnsclwac","atmos",,"area: areacella",,
"cfMon","Tendency of Mass Fraction of Stratiform Cloud Liquid Water due to Advection","s-1",,,"tnsclwa","tendency_of_mass_fraction_of_stratiform_cloud_liquid_water_in_air_due_to_advection",,"s-1","time: mean",,,,,,"real","longitude latitude alevel time","tnsclwa","atmos",,"area: areacella",,
"cfMon","Tendency of Mass Fraction of Stratiform Cloud Ice In Air","s-1",,,"tnscli","tendency_of_mass_fraction_of_stratiform_cloud_ice_in_air",,"s-1","time: mean",,,,,,"real","longitude latitude alevel time","tnscli","atmos",,"area: areacella",,
"cfMon","Tendency of Mass Fraction of Stratiform Cloud Ice In Air Due To Cloud Microphysics","s-1",,,"tnsclicm","tendency_of_mass_fraction_of_stratiform_cloud_ice_in_air_due_to_cloud_microphysics",,"s-1","time: mean",,,,,,"real","longitude latitude alevel time","tnsclicm","atmos",,"area: areacella",,
"cfMon","Tendency of Mass Fraction of Stratiform Cloud Ice In Air Due To Boundary Layer Mixing","s-1",,,"tnsclibl","tendency_of_mass_fraction_of_stratiform_cloud_ice_in_air_due_to_boundary_layer_mixing",,"s-1","time: mean",,,,,,"real","longitude latitude alevel time","tnsclibl","atmos",,"area: areacella",,
"cfMon","Tendency of Mass Fraction of Stratiform Cloud Ice In Air Due To Bergeron Findeisen Process from Cloud Liquid","s-1",,,"tnsclibfpcl","tendency_of_mass_fraction_of_stratiform_cloud_ice_in_air_due_to_bergeron_findeisen_process_from_cloud_liquid",,"s-1","time: mean",,,,,,"real","longitude latitude alevel time","tnsclibfpcl","atmos",,"area: areacella",,
"cfMon","Tendency of Mass Fraction of Stratiform Cloud Ice Due Convective Detrainment","s-1",,,"tnsclicd","tendency_of_mass_fraction_of_stratiform_cloud_ice_in_air_due_to_convective_detrainment",,"s-1","time: mean",,,,,,"real","longitude latitude alevel time","tnsclicd","atmos",,"area: areacella",,
"cfMon","Tendency of Mass Fraction of Stratiform Cloud Ice due to Homogeneous Nucleation","s-1",,,"tnsclihon","tendency_of_mass_fraction_of_stratiform_cloud_ice_in_air_due_to_homogeneous_nucleation",,"s-1","time: mean",,,,,,"real","longitude latitude alevel time","tnsclihon","atmos",,"area: areacella",,
"cfMon","Tendency of Mass Fraction of Stratiform Cloud Ice due to Heterogeneous Nucleation From Cloud Liquid","s-1",,,"tnsclihencl","tendency_of_mass_fraction_of_stratiform_cloud_ice_in_air_due_to_heterogeneous_nucleation_from_cloud_liquid_water",,"s-1","time: mean",,,,,,"real","longitude latitude alevel time","tnsclihencl","atmos",,"area: areacella",,
"cfMon","Tendency of Mass Fraction of Stratiform Cloud Ice due to Heterogeneous Nucleation From Water Vapor","s-1",,,"tnsclihenv","tendency_of_mass_fraction_of_stratiform_cloud_ice_in_air_due_to_heterogeneous_nucleation_from_water_vapor",,"s-1","time: mean",,,,,,"real","longitude latitude alevel time","tnsclihenv","atmos",,"area: areacella",,
"cfMon","Tendency of Mass Fraction of Stratiform Cloud Ice due to Riming From Cloud Liquid","s-1",,,"tnscliricl","tendency_of_mass_fraction_of_stratiform_cloud_ice_in_air_due_to_riming_from_cloud_liquid_water",,"s-1","time: mean",,,,,,"real","longitude latitude alevel time","tnscliricl","atmos",,"area: areacella",,
"cfMon","Tendency of Mass Fraction of Stratiform Cloud Ice due to Riming From Rain","s-1",,,"tnsclirir","tendency_of_mass_fraction_of_stratiform_cloud_ice_in_air_due_to_riming_from_rain",,"s-1","time: mean",,,,,,"real","longitude latitude alevel time","tnsclirir","atmos",,"area: areacella",,
"cfMon","Tendency of Mass Fraction of Stratiform Cloud Ice due to Deposition and Sublimation","s-1",,,"tnsclids","tendency_of_mass_fraction_of_stratiform_cloud_ice_in_air_due_to_deposition_and_sublimation",,"s-1","time: mean",,,,,,"real","longitude latitude alevel time","tnsclids","atmos",,"area: areacella",,
"cfMon","Tendency of Mass Fraction of Stratiform Cloud Ice due to Aggregation","s-1",,,"tnscliag","tendency_of_mass_fraction_of_stratiform_cloud_ice_in_air_due_to_aggregation",,"s-1","time: mean",,,,,,"real","longitude latitude alevel time","tnscliag","atmos",,"area: areacella",,
"cfMon","Tendency of Mass Fraction of Stratiform Cloud Ice due to Accretion to Snow","s-1",,,"tnsclias","tendency_of_mass_fraction_of_stratiform_cloud_ice_in_air_due_to_accretion_to_snow",,"s-1","time: mean",,,,,,"real","longitude latitude alevel time","tnsclias","atmos",,"area: areacella",,
"cfMon","Tendency of Mass Fraction of Stratiform Cloud Ice due to Evaporation of Melting Ice","s-1",,,"tnscliemi","tendency_of_mass_fraction_of_stratiform_cloud_ice_in_air_due_to_evaporation_of_melting_ice",,"s-1","time: mean",,,,,,"real","longitude latitude alevel time","tnscliemi","atmos",,"area: areacella",,
"cfMon","Tendency of Mass Fraction of Stratiform Cloud Ice due to Melting to Rain","s-1",,,"tnsclimr","tendency_of_mass_fraction_of_stratiform_cloud_ice_in_air_due_to_melting_to_rain",,"s-1","time: mean",,,,,,"real","longitude latitude alevel time","tnsclimr","atmos",,"area: areacella",,
"cfMon","Tendency of Mass Fraction of Stratiform Cloud Ice due to Melting to Cloud Liquid","s-1",,,"tnsclimcl","tendency_of_mass_fraction_of_stratiform_cloud_ice_in_air_due_to_melting_to_cloud_liquid_water",,"s-1","time: mean",,,,,,"real","longitude latitude alevel time","tnsclimcl","atmos",,"area: areacella",,
"cfMon","Tendency of Mass Fraction of Stratiform Cloud Ice due to Icefall","s-1",,,"tnscliif","tendency_of_mass_fraction_of_stratiform_cloud_ice_in_air_due_to_icefall",,"s-1","time: mean",,,,,,"real","longitude latitude alevel time","tnscliif","atmos",,"area: areacella",,
"cfMon","Tendency of Mass Fraction of Stratiform Cloud Ice due to Advection","s-1",,,"tnsclia","tendency_of_mass_fraction_of_stratiform_cloud_ice_in_air_due_to_advection",,"s-1","time: mean",,,,,,"real","longitude latitude alevel time","tnsclia","atmos",,"area: areacella",,
"cfMon","Tendency of Mass Fraction of Stratiform Cloud Condensed Water In Air","s-1",,,"tnsccw","tendency_of_mass_fraction_of_stratiform_cloud_condensed_water_in_air",,"s-1","time: mean",,,,,,"real","longitude latitude alevel time","tnsccw","atmos",,"area: areacella",,
"cfMon","Tendency of Mass Fraction of Stratiform Cloud Condensed Water In Air Due To Cloud Microphysics","s-1",,,"tnsccwcm","tendency_of_mass_fraction_of_stratiform_cloud_condensed_water_in_air_due_to_cloud_microphysics",,"s-1","time: mean",,,,,,"real","longitude latitude alevel time","tnsccwcm","atmos",,"area: areacella",,
"cfMon","Tendency of Mass Fraction of Stratiform Cloud Condensed Water In Air Due To Boundary Layer Mixing","s-1",,,"tnsccwbl","tendency_of_mass_fraction_of_stratiform_cloud_condensed_water_in_air_due_to_boundary_layer_mixing",,"s-1","time: mean",,,,,,"real","longitude latitude alevel time","tnsccwbl","atmos",,"area: areacella",,
"cfMon","Tendency of Mass Fraction of Stratiform Cloud Condensed Water due to Condensation and Evaporation","s-1","condensed water includes both liquid and ice.",,"tnsccwce","tendency_of_mass_fraction_of_stratiform_cloud_condensed_water_in_air_due_to_condensation_and_evaporation",,"s-1","time: mean",,,,,,"real","longitude latitude alevel time","tnsccwce","atmos",,"area: areacella",,
"cfMon","Tendency of Mass Fraction of Stratiform Cloud Condensed Water due to Autoconversion to Rain","s-1","condensed water includes both liquid and ice.",,"tnsccwacr","tendency_of_mass_fraction_of_stratiform_cloud_condensed_water_in_air_due_to_autoconversion_to_rain",,"s-1","time: mean",,,,,,"real","longitude latitude alevel time","tnsccwacr","atmos",,"area: areacella",,
"cfMon","Tendency of Mass Fraction of Stratiform Cloud Condensed Water due to Autoconversion to Snow","s-1","condensed water includes both liquid and ice.",,"tnsccwacs","tendency_of_mass_fraction_of_stratiform_cloud_condensed_water_in_air_due_to_autoconversion_to_snow",,"s-1","time: mean",,,,,,"real","longitude latitude alevel time","tnsccwacs","atmos",,"area: areacella",,
"cfMon","Tendency of Mass Fraction of Stratiform Cloud Condensed Water due to Icefall","s-1","condensed water includes both liquid and ice.",,"tnsccwif","tendency_of_mass_fraction_of_stratiform_cloud_condensed_water_in_air_due_to_icefall",,"s-1","time: mean",,,,,,"real","longitude latitude alevel time","tnsccwif","atmos",,"area: areacella",,
"cfMon","Tendency of Mass Fraction of Stratiform Cloud Condensed Water due to Advection","s-1","condensed water includes both liquid and ice.",,"tnsccwa","tendency_of_mass_fraction_of_stratiform_cloud_condensed_water_in_air_due_to_advection",,"s-1","time: mean",,,,,,"real","longitude latitude alevel time","tnsccwa","atmos",,"area: areacella",,
"cfMon","TOA Outgoing Shortwave Radiation in 4XCO2 Atmosphere","W m-2",,,"rsut4co2","toa_outgoing_shortwave_flux",,"W m-2","time: mean",,,,,"up","real","longitude latitude time","rsut4co2","atmos",,"area: areacella",,
"cfMon","TOA Outgoing Longwave Radiation 4XCO2 Atmosphere","W m-2",,,"rlut4co2","toa_outgoing_longwave_flux",,"W m-2","time: mean",,,,,"up","real","longitude latitude time","rlut4co2","atmos",,"area: areacella",,
"cfMon","TOA Outgoing Clear-Sky Shortwave Radiation 4XCO2 Atmosphere","W m-2",,,"rsutcs4co2","toa_outgoing_shortwave_flux_assuming_clear_sky",,"W m-2","time: mean",,,,,"up","real","longitude latitude time","rsutcs4co2","atmos",,"area: areacella",,
"cfMon","TOA Outgoing Clear-Sky Longwave Radiation 4XCO2 Atmosphere","W m-2",,,"rlutcs4co2","toa_outgoing_longwave_flux_assuming_clear_sky",,"W m-2","time: mean",,,,,"up","real","longitude latitude time","rlutcs4co2","atmos",,"area: areacella",,
"cfMon","Upwelling Longwave Radiation 4XCO2 Atmosphere","W m-2",,,"rlu4co2","upwelling_longwave_flux_in_air",,"W m-2","time: mean",,,,,"up","real","longitude latitude alevhalf time","rlu4co2","atmos",,"area: areacella",,
"cfMon","Upwelling Shortwave Radiation 4XCO2 Atmosphere","W m-2",,,"rsu4co2","upwelling_shortwave_flux_in_air",,"W m-2","time: mean",,,,,"up","real","longitude latitude alevhalf time","rsu4co2","atmos",,"area: areacella",,
"cfMon","Downwelling Longwave Radiation 4XCO2 Atmosphere","W m-2",,,"rld4co2","downwelling_longwave_flux_in_air",,"W m-2","time: mean",,,,,"down","real","longitude latitude alevhalf time","rld4co2","atmos",,"area: areacella",,
"cfMon","Downwelling Shortwave Radiation 4XCO2 Atmosphere","W m-2",,,"rsd4co2","downwelling_shortwave_flux_in_air",,"W m-2","time: mean",,,,,"down","real","longitude latitude alevhalf time","rsd4co2","atmos",,"area: areacella",,
"cfMon","Upwelling Clear-Sky Longwave Radiation 4XCO2 Atmosphere","W m-2",,,"rlucs4co2","upwelling_longwave_flux_in_air_assuming_clear_sky",,"W m-2","time: mean",,,,,"up","real","longitude latitude alevhalf time","rlucs4co2","atmos",,"area: areacella",,
"cfMon","Upwelling Clear-Sky Shortwave Radiation 4XCO2 Atmosphere","W m-2",,,"rsucs4co2","upwelling_shortwave_flux_in_air_assuming_clear_sky",,"W m-2","time: mean",,,,,"up","real","longitude latitude alevhalf time","rsucs4co2","atmos",,"area: areacella",,
"cfMon","Downwelling Clear-Sky Longwave Radiation 4XCO2 Atmosphere","W m-2",,,"rldcs4co2","downwelling_longwave_flux_in_air_assuming_clear_sky",,"W m-2","time: mean",,,,,"down","real","longitude latitude alevhalf time","rldcs4co2","atmos",,"area: areacella",,
"cfMon","Downwelling Clear-Sky Shortwave Radiation 4XCO2 Atmosphere","W m-2",,,"rsdcs4co2","downwelling_shortwave_flux_in_air_assuming_clear_sky",,"W m-2","time: mean",,,,,"down","real","longitude latitude alevhalf time","rsdcs4co2","atmos",,"area: areacella",,
"cfMon","ISCCP Total Cloud Fraction","%",,,"cltisccp","cloud_area_fraction",,"%","time: mean",,,,,,"real","longitude latitude time","cltisccp","atmos",,"area: areacella",,
"cfMon","ISCCP Mean Cloud Albedo",1,"time-means weighted by the ISCCP Total Cloud Fraction - see http://cfmip.metoffice.com/COSP.html",,"albisccp","cloud_albedo",,1,"time: mean",,,,,,"real","longitude latitude time","albisccp","atmos",,"area: areacella",,
"cfMon","ISCCP Mean Cloud Top Pressure","Pa","time-means weighted by the ISCCP Total Cloud Fraction - see http://cfmip.metoffice.com/COSP.html",,"pctisccp","air_pressure_at_cloud_top",,"Pa","time: mean",,,,,,"real","longitude latitude time","pctisccp","atmos",,"area: areacella",,
"cfMon","ISCCP Cloud Area Fraction","%",," 7 levels x 7 tau","clisccp","isccp_cloud_area_fraction",,"%","time: mean",,,,,,"real","longitude latitude plev7 tau time","clisccp","atmos",,"area: areacella",,
